港澳,#genre#
CI 罪案侦查频道,http://103.45.68.47/gy/gy213/xsj.php?id=ci
亚洲旅游台,http://103.45.68.47/gy/gy213/xsj.php?id=asia-travel
美食星球频道,http://103.45.68.47/gy/gy213/xsj.php?id=food-planet
EYE 旅游台,http://103.45.68.47/gy/gy213/xsj.php?id=eye-travel
欧美,#genre#
ABC News,http://103.45.68.47/gy/gy213/xsj.php?id=abc-news
Bloomberg,http://103.45.68.47/gy/gy213/xsj.php?id=bloomberg
Fox News,http://103.45.68.47/gy/gy213/xsj.php?id=fox-news
BBC World News,http://103.45.68.47/gy/gy213/xsj.php?id=bbc-world-news
CNN,http://103.45.68.47/gy/gy213/xsj.php?id=cnn
CBS News,http://103.45.68.47/gy/gy213/xsj.php?id=cbsn
CNBC,http://103.45.68.47/gy/gy213/xsj.php?id=cnbc
央视,#genre#
CCTV-1 综合,http://45.137.97.13/user/dl
/histar.php?id=cctv1
CCTV-2 财经,http://103.45.68.47/gy/gy213/xsj.php?id=cctv2
CCTV-3 综艺,http://103.45.68.47/gy/gy213/xsj.php?id=cctv3
CCTV-4 中文国际,http://103.45.68.47/gy/gy213/xsj.php?id=cctv4
CCTV-5 体育,http://103.45.68.47/gy/gy213/xsj.php?id=cctv5
CCTV-6 电影,http://103.45.68.47/gy/gy213/xsj.php?id=cctv6
CCTV-7 国防军事,http://103.45.68.47/gy/gy213/xsj.php?id=cctv7
CCTV-8 电视剧,http://103.45.68.47/gy/gy213/xsj.php?id=cctv8
CCTV-9 纪录,http://103.45.68.47/gy/gy213/xsj.php?id=cctv9
CCTV-10 科教,http://103.45.68.47/gy/gy213/xsj.php?id=cctv10
CCTV-11 戏曲,http://103.45.68.47/gy/gy213/xsj.php?id=cctv11
CCTV-12 社会与法,http://103.45.68.47/gy/gy213/xsj.php?id=cctv12
CCTV-13 新闻,http://103.45.68.47/gy/gy213/xsj.php?id=cctv13
CCTV-14 少儿,http://103.45.68.47/gy/gy213/xsj.php?id=cctv14
CCTV-15 音乐,http://103.45.68.47/gy/gy213/xsj.php?id=cctv15
CCTV-16 奥林匹克,http://103.45.68.47/gy/gy213/xsj.php?id=cctv16
CCTV-17 农业农村,http://103.45.68.47/gy/gy213/xsj.php?id=cctv17
CCTV-5+ 体育赛事,http://103.45.68.47/gy/gy213/xsj.php?id=cctv5plus
卫视,#genre#
北京卫视,http://103.45.68.47/gy/gy213/xsj.php?id=beijing
湖南卫视,http://103.45.68.47/gy/gy213/xsj.php?id=hunan
浙江卫视,http://103.45.68.47/gy/gy213/xsj.php?id=zhejiang
东方卫视,http://103.45.68.47/gy/gy213/xsj.php?id=dongfang
江苏卫视,http://103.45.68.47/gy/gy213/xsj.php?id=jiangsu
重庆卫视,http://103.45.68.47/gy/gy213/xsj.php?id=chongqing
东南卫视,http://103.45.68.47/gy/gy213/xsj.php?id=dongnan
福建海峡卫视,http://103.45.68.47/gy/gy213/xsj.php?id=fujianhaixia
甘肃卫视,http://103.45.68.47/gy/gy213/xsj.php?id=gansu
广西卫视,http://103.45.68.47/gy/gy213/xsj.php?id=guangxi
贵州卫视,http://103.45.68.47/gy/gy213/xsj.php?id=guizhou
海南卫视,http://103.45.68.47/gy/gy213/xsj.php?id=hainan
河北卫视,http://103.45.68.47/gy/gy213/xsj.php?id=hebei
黑龙江卫视,http://103.45.68.47/gy/gy213/xsj.php?id=heilongjiang
湖北卫视,http://103.45.68.47/gy/gy213/xsj.php?id=hubei
江西卫视,http://103.45.68.47/gy/gy213/xsj.php?id=jiangxi
吉林卫视,http://103.45.68.47/gy/gy213/xsj.php?id=jilin
辽宁卫视,http://103.45.68.47/gy/gy213/xsj.php?id=liaoning
南方卫视,http://103.45.68.47/gy/gy213/xsj.php?id=nanfang
内蒙古卫视,http://103.45.68.47/gy/gy213/xsj.php?id=neimenggu
宁夏卫视,http://103.45.68.47/gy/gy213/xsj.php?id=ningxia
陕西卫视,http://103.45.68.47/gy/gy213/xsj.php?id=shaanxi
山东卫视,http://103.45.68.47/gy/gy213/xsj.php?id=shandong
山西卫视,http://103.45.68.47/gy/gy213/xsj.php?id=shanxi
深圳卫视,http://103.45.68.47/gy/gy213/xsj.php?id=shenzhen
四川卫视,http://103.45.68.47/gy/gy213/xsj.php?id=sichuan
天津卫视,http://103.45.68.47/gy/gy213/xsj.php?id=tianjin
厦门卫视,http://103.45.68.47/gy/gy213/xsj.php?id=xiamen
新疆卫视,http://103.45.68.47/gy/gy213/xsj.php?id=xinjiang
西藏卫视,http://103.45.68.47/gy/gy213/xsj.php?id=xizang
云南卫视,http://103.45.68.47/gy/gy213/xsj.php?id=yunnan
广东卫视,http://103.45.68.47/gy/gy213/xsj.php?id=guangdong
安徽卫视,http://103.45.68.47/gy/gy213/xsj.php?id=anhui
河南卫视,http://103.45.68.47/gy/gy213/xsj.php?id=henan
青海卫视,http://103.45.68.47/gy/gy213/xsj.php?id=qinghai
地方,#genre#
第一财经,http://103.45.68.47/gy/gy213/xsj.php?id=yicai
北京财经,http://103.45.68.47/gy/gy213/xsj.php?id=bjcj
上海都市,http://103.45.68.47/gy/gy213/xsj.php?id=shds
上海新闻,http://103.45.68.47/gy/gy213/xsj.php?id=shxw
广东珠江,http://103.45.68.47/gy/gy213/xsj.php?id=gdzj
湖南经视,http://103.45.68.47/gy/gy213/xsj.php?id=hnjs
北京体育休闲,http://103.45.68.47/gy/gy213/xsj.php?id=bjtyxx
五星体育,http://103.45.68.47/gy/gy213/xsj.php?id=wxty
天津体育,http://103.45.68.47/gy/gy213/xsj.php?id=tjty
辽宁体育,http://103.45.68.47/gy/gy213/xsj.php?id=lnty
广东体育,http://103.45.68.47/gy/gy213/xsj.php?id=gdty
河南梨园,http://103.45.68.47/gy/gy213/xsj.php?id=hnly
